menu,price
"매화(치킨, 연어구이)","10,000"
매화 (순살 고등어데리야끼),"10,000"
진달래,"7,000"
개나리(순살 고등어 간장구이),"8,000"
중화 짜장볶음밥,"4,700"
나시고랭,"4,500"
생선까스도련님고기고기,"5,500"
돈까스도련님고기고기,"5,500"
탕수육도련님고기고기,"5,600"
새치 고기고기,"6,000"
돈치 고기고기,"5,200"
고기고기,"4,000"
제육 김치찌개 정식,"8,000"
고등어 불고기 정식,"7,000"
콤비네이션 정식,"6,000"
숯불직화구이,"6,500"
소불고기,"5,000"
메가치킨제육,"6,900"
생선까스도련님,"3,900"
칠리 찹쌀탕수육도련님,"4,000"
동백,"5,000"
치킨제육,"4,400"
국화,"4,200"
돈까스도련님,"3,900"
제육볶음,"3,900"
한솥밥,"1,000"
현미밥,"1,700"
마라치킨마요세트,"5,700"
마라치킨마요,"3,700"
메가불닭치킨 고로케,"8,200"
메가불닭참치 고로케,"8,200"
메가불닭치킨 케이준,"7,700"
메가불닭참치 케이준,"7,700"
불닭치킨 고로케세트,"5,300"
불닭참치 고로케세트,"5,300"
불닭치킨 케이준세트,"4,800"
불닭참치 케이준세트,"4,800"
메가불닭치킨마요,"6,400"
메가불닭참치마요,"6,400"
불닭치킨마요,"3,500"
불닭참치마요,"3,500"
피자불고기마요,"4,700"
피자치킨마요,"4,500"
갈비치킨마요,"3,200"
메가치킨마요,"5,200"
왕치킨마요,"4,200"
빅치킨마요,"3,500"
치킨마요,"2,900"
참치 샐러드마요,"3,400"
치킨 샐러드마요,"3,400"
참치마요,"2,900"
돈치마요,"3,500"
치즈 카레도시락,"4,000"
돈까스 카레,"3,900"
소불고기 철판볶음밥,"4,500"
한솥 철판볶음밥,"3,700"
소고기 육개장,"4,500"
묵은지 김치찌개,"4,300"
고추장숯불삼겹덮밥세트,"8,500"
고추장숯불삼겹덮밥,"6,500"
숯불직화구이 덮밥,"5,700"
숯불구이 덮밥 + 쌈채소,"6,700"
왕카레돈까스덮밥,"5,500"
새우돈까스 덮밥,"3,900"
돈까스 덮밥,"3,600"
치즈불닭비빔밥,"5,700"
불닭비빔밥,"4,500"
소불고기 감초고추장 비빔밥,"4,800"
시골제육 두부강된장 비빔밥,"4,800"
참치야채 감초고추장,"3,200"
튼튼도시락,"5,000"
해피닭가슴살볶음밥,"5,000"
쑥쑥치킨마요,"5,000"
순살치킨 패밀리세트(직영점 판매),"15,500"
순살치킨 콤보세트(직영점 판매),"15,500"
순살치킨 싱글세트(직영점 판매),"9,500"
순살치킨 패밀리(직영점 판매),"13,000"
순살치킨 콤보(직영점 판매),"13,000"
순살치킨 싱글(직영점 판매),"7,000"
반찬 녹두전,"2,700"
반찬 해물부추전,"2,200"
반찬 계란말이,"2,200"
반찬 치즈계란말이,"2,800"
반찬 묵은지김치찌개,"3,900"
반찬 소고기육개장,"4,100"
반찬 카레,"2,400"
반찬 소불고기,"3,900"
반찬 순살 고등어데리야끼,"3,400"
반찬 치킨,"3,200"
반찬 고기고기,"3,200"
반찬 돈까스 도련님,"3,200"
반찬 제육볶음,"3,100"
반찬 돈까스,"2,500"
바삭 군만두,"2,000"
미니 찹쌀핫도그,"2,500"
미니 찹쌀탕수육,"2,000"
감자고로케,"2,000"
케이준후라이,"1,500"
쌈채소 세트,"1,000"
치킨 샐러드(유자드레싱),"3,600"
치킨 샐러드(사과드레싱),"3,600"
그린 샐러드 (유자드레싱),"2,900"
그린 샐러드 (사과드레싱),"2,900"
미니 샐러드 (유자드레싱),"1,500"
미니 샐러드 (사과드레싱),"1,500"
국물떡볶이 튀김세트,"4,800"
닭강정 트리플 콤보,"8,000"
탕수 닭강정(중),"7,800"
탕수 닭강정(소),"3,000"
갈비 닭강정(중),"7,800"
갈비 닭강정(소),"3,000"
오리지널 닭강정(중),"7,500"
오리지널 닭강정(소),"2,800"
치킨 BOX(대) ,"10,000"
치킨BOX(중)_양식소스,"5,000"
치킨BOX(중)_칠리소스,"5,000"
오징어젓갈,400
간장마늘쫑,400
오이지무침,700
한솥 두부강된장소스,"1,800"
한솥 감초볶음고추장소스,500
반찬 무생채,300
볶음김치,400
김치,300
무말랭이,300
